YEAR,TECHNOLOGY:Type,VALUE
2030,JET,34.00403857714366
2031,JET,35.289061688856386
2032,JET,36.57408529472127
2033,JET,37.859109392782585
2034,JET,39.14413398109488
2035,JET,40.42915905772296
2036,JET,41.714428497143786
2037,JET,42.999454544638446
2038,JET,44.28448107470405
2039,JET,45.56950808544568
2040,JET,46.85453557497835
2041,JET,48.13956354142689
2042,JET,49.42483585932792
2043,JET,50.70986477402177
2044,JET,51.823030735096886
2045,JET,53.108060508476576
2046,JET,54.39309074975488
2047,JET,55.67812145711359
2048,JET,56.963396505145845
2049,JET,58.24842813924813
2050,JET,59.53346023403223
2051,JET,60.83018809415441
2052,JET,62.14301179680852
2053,JET,63.472906847602665
2054,JET,64.81962937013476
2055,JET,66.3557749084496
2021,ABF,0.5940831519999997
2022,ABF,0.6278468795100002
2023,ABF,0.66161060702
2024,ABF,0.6953807423719999
2025,ABF,0.7291444698819998
2026,ABF,0.7629083335837441
2027,ABF,0.7966722105243405
2028,ABF,0.8304361006510435
2029,ABF,0.8596843328680654
2030,ABF,0.8934546548060086
2031,ABF,0.9272185819374392
2032,ABF,0.9609825220526969
2033,ABF,0.9947464751003942
2034,ABF,1.0285104410294148
2035,ABF,1.0622744197889118
2036,ABF,1.0960448191703058
2037,ABF,1.1298088234392811
2038,ABF,1.1635728403877867
2039,ABF,1.1973368699660345
2040,ABF,1.2311009121244965
2041,ABF,1.2648649668139025
2042,ABF,1.2986354418272397
2043,ABF,1.33239952143175
2044,ABF,1.3616479093030278
2045,ABF,1.395412011469472
2046,ABF,1.4291761259299325
2047,ABF,1.4629402526366355
2048,ABF,1.4967107993840538
2049,ABF,1.5304749504409043
2050,ABF,1.5642391136021498
2051,ABF,1.5983105824958928
2052,ABF,1.6328049689616342
2053,ABF,1.6677479043673764
2054,ABF,1.703132980871118
2055,ABF,1.7434951389881073
