YEAR,TECHNOLOGY:Type,VALUE
2039,,12.250296730705333
2040,,14.39668709549881
2041,,15.105109648165257
2042,,16.036529748502684
2043,,16.76493628975443
2044,,17.853977813879602
2045,,19.09552574098535
2046,,19.888673174084264
2047,,21.21053821492878
2048,,22.895205418369645
2049,,24.514998459210073
2050,,26.631028533490007
2051,,28.715403112735785
2052,,31.613250625392006
2053,,34.645991476009144
2054,,37.811380478020425
2055,,41.13130977046484
2022,,0.5383929123752901
2023,,0.996247055175214
2025,,2.0435783434181163
2026,,2.5093585220495185
2027,,2.9944503793074015
2028,,3.4981442670002934
2021,JET,1.1500632
2022,JET,1.2154251285000002
2023,JET,1.2807870569999995
2024,JET,1.3461613901999998
2025,JET,1.4115233187000005
2026,JET,1.41947459875474
2027,JET,1.427831731889007
2028,JET,1.4367171680834665
2029,JET,1.4379498952423344
2030,JET,1.448022506580022
2031,JET,1.4586002782577778
2032,JET,1.4696813380012992
2033,JET,1.47957921293905
2034,JET,1.4914593501394473
2035,JET,1.5038881755890343
2036,JET,1.516496964835033
2037,JET,1.5294288422523616
2038,JET,1.5424216047604191
2039,JET,1.5555707180595288
2040,JET,1.5686126972206538
2041,JET,1.5816410106440295
2042,JET,1.5944588629411218
2043,JET,1.6070020391335935
2044,JET,1.6132358687216992
2045,JET,1.6250437882425974
2046,JET,1.63635641692358
2047,JET,1.647025576400535
2048,JET,1.6545961129050106
2049,JET,1.663672194524754
2050,JET,1.6719805569790318
2051,JET,1.7131379597967746
2052,JET,1.755409336640322
2053,JET,1.7987112217267738
2054,JET,1.8430606217190315
2055,JET,1.8937430765583867
2021,ABF,0.0116168
2022,ABF,0.0122770215
2023,ABF,0.0129372429999999
2024,ABF,0.0135975897999999
2025,ABF,0.0142578113
2026,ABF,0.0334164951600399
2027,ABF,0.0533215169585106
2028,ABF,0.0740264366310093
2029,ABF,0.0950457286833952
2030,ABF,0.117407230263245
2031,ABF,0.1407421321125925
2032,ABF,0.16511436611583
2033,ABF,0.1922617056361477
2034,ABF,0.218929812864506
2035,ABF,0.2468547529197368
2036,ABF,0.2760526389888831
2037,ABF,0.3066201880625983
2038,ABF,0.3385803522644821
2039,ABF,0.372026206425637
2040,ABF,0.4069700448708497
2041,ABF,0.4435075305134986
2042,ABF,0.4816594481801304
2043,ABF,0.5214774828976562
2044,ABF,0.5609364610919115
2045,ABF,0.6040972107184415
2046,ABF,0.6490575731931517
2047,ABF,0.6958273061037822
2048,ABF,0.7468496242575593
2049,ABF,0.7973813476716277
2050,ABF,0.8498604037736557
2051,ABF,0.8707805316010753
2052,ABF,0.8922668875532255
2053,ABF,0.9142770463377418
2054,ABF,0.936819652366989
2055,ABF,0.9625813224738706
